,Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
307,2022,2,1,1,15,1,1,5,2,3,2159.793,44628.201,2428970.341,2
308,2022,2,1,1,15,1,1,6,1,2,3668.885,20852.826,2853206.657,2
309,2022,2,1,1,15,1,1,6,1,3,2070.870,40476.781,910332.064,2
310,2022,2,1,1,15,1,1,6,2,2,4063.202,31857.805,5398519.966,4
311,2022,2,1,1,15,1,1,6,2,3,2633.555,48523.181,2118707.429,2
312,2022,2,1,1,15,1,1,7,1,2,5278.875,68625.376,5278875.069,1
313,2022,2,1,1,15,1,1,7,1,4,3380.940,114102.477,1622007.642,3
314,2022,2,1,1,15,1,1,7,2,2,7905.722,57542.614,5476339.618,6
315,2022,2,1,1,15,1,1,7,2,3,647.814,12956.282,259125.644,1
316,2022,2,1,1,15,1,1,9,1,2,647.814,5830.327,355002.133,1
317,2022,2,1,1,15,1,2,1,1,2,6782.184,52754.166,5010781.141,2
318,2022,2,1,1,15,1,2,2,1,2,5278.875,26394.375,1731471.023,1
319,2022,2,1,1,15,1,2,2,2,2,1503.309,10523.165,1444680.272,1
320,2022,2,1,1,15,1,2,3,1,1,647.814,1943.442,294755.42,1
321,2022,2,1,1,15,1,2,3,1,2,16633.306,114941.386,15751769.747,12
322,2022,2,1,1,15,1,2,3,1,3,1068.892,14964.483,716157.398,1
323,2022,2,1,1,15,1,2,3,2,1,1503.309,4509.928,129284.603,1
324,2022,2,1,1,15,1,2,3,2,2,9270.466,76716.228,7207577.449,6
325,2022,2,1,1,15,1,2,4,1,2,7009.202,47834.598,5562912.82,5
326,2022,2,1,1,15,1,2,4,2,2,11412.258,74606.928,9612496.185,6
327,2022,2,1,1,15,1,2,5,1,2,8536.950,59758.650,5930532.032,5
328,2022,2,1,1,15,1,2,5,2,2,7198.932,62033.940,5096789.423,6
329,2022,2,1,1,15,1,2,6,1,2,3891.518,27240.629,5883685.75,4
330,2022,2,1,1,15,1,2,6,2,2,1677.362,14830.173,1055917.664,2
331,2022,2,1,1,15,1,2,6,2,3,1970.172,28523.033,2640940.211,2
332,2022,2,1,1,15,1,2,7,1,2,4820.058,38013.305,4278858.959,3
333,2022,2,1,1,15,1,2,7,1,3,1146.939,16057.144,982926.585,1
334,2022,2,1,1,15,1,2,7,2,2,1892.449,13247.144,1180888.229,1
335,2022,2,1,1,15,1,2,9,1,2,1892.449,22709.389,1606689.273,1
336,2022,2,1,1,15,2,1,4,1,3,405.588,8517.350,1216764.282,1
337,2022,2,1,1,15,2,1,6,1,2,1356.293,5425.174,1085034.772,1
338,2022,2,1,1,15,2,2,4,1,2,405.588,4055.881,549977.455,1
339,2022,2,1,1,15,4,1,1,2,3,647.814,9069.398,81624.578,1
340,2022,2,1,1,15,4,1,2,1,2,1117.792,10060.128,1117791.961,1
341,2022,2,1,1,15,4,1,2,1,3,1130.246,27125.895,0.0,1
